Sitio	replica	estrato	UnidadTaxonómica	Largo	Ancho	body_mass
L	1	Frag	enquitreido	7829.519	438.275	2589.45250277058
R	3	Hoja	enquitreido	7791.984	448.912	2575.8004578504
P	1	Frag	pupa_insecto	3143.149	1353.988	2537.2399155
L	2	Frag	enquitreido	7684.695	412.478	2536.81418605298
L	1	Frag	enquitreido	7615.192	382.279	2511.58743723576
R	3	10	enquitreido	7555.762	485.506	2490.03502110312
P	1	Frag	enquitreido	7538.653	479.531	2483.83354191027
P	1	Frag	enquitreido	7511.663	239.766	2474.05337042391
P	3	humus	larva_coleoptero	3029.751	488.447	2445.4442345
P	2	Frag	oniscoidea	7455.193	1924.532	2433.4629066
L	1	Frag	enquitreido	7399.031	370.91	2433.2777803711
L	1	Hoja	enquitreido	7389.167	345.134	2429.70970819607
P	1	Frag	enquitreido	7382.15	333.955	2427.17176182267
P	1	20	carabidae			2400
R	2	20	formicidae			2400
P	2	10	oniscoidea			2400
P	2	H	oniscoidea			2400
P	2	H	oniscoidea			2400
P	1	H	oniscoidea			2400
P	1	H	oniscoidea			2400
P	1	H	oniscoidea			2400
P	1	H	oniscoidea			2400
P	1	20	oniscoidea			2400
R	2	10	oniscoidea			2400
R	2	H	oniscoidea			2400
R	1	H	oniscoidea			2400
L	3	H	larva_carabidae			2400
L	1	20	larva_elateridae			2400
L	2	10	larva_tenebrionidae			2400
P	1	20	ptilidae			2400
P	1	H	symphyla			2400
R	1	10	juvenil			2400
R	3	Frag	enquitreido	7276.3	382.08	2388.91674722636
L	3	Frag	enquitreido	7214.974	499.19	2366.77844952981
P	1	humus	enquitreido	7203.256	454.288	2362.55046169903
P	1	10	staphiliniidae	5341.916	701.452	2356.6156911539
L	2	humus	enquitreido	7178.65	373.548	2353.67457623187
P	1	Frag	enquitreido	7168.992	408.306	2350.19156964615
L	1	Frag	enquitreido	7145.576	348.075	2341.74890457087
L	1	Hoja	enquitreido	7111.421	370.857	2329.43924330042
L	2	humus	enquitreido	7093.977	375.154	2323.15460260755
R	3	20	enquitreido	7088.113	321.379	2321.04229565463
L	3	Hoja	enquitreido	7054.67	617.76	2308.99893409964
L	1	Hoja	enquitreido	7051.845	406.579	2307.98186731879
L	1	Frag	enquitreido	7050.095	411.597	2307.35184638626
L	1	10	enquitreido	7019.008	461.855	2296.16276412802
